"Class","Guild","rho","p_value","padj"
"Polyphenolic","chemolithoautotroph",0.0440345058255397,0.82736016072599,0.86872816876229
"Polyphenolic","heterotroph-aromatic",0.24270715924282,0.104115286232216,0.728807003625514
"Polyphenolic","heterotroph-polymer",-0.295904741380882,0.0350084396802628,0.431970251906335
"Polyphenolic","heterotroph-sugar",0.222295083770788,0.157087607329821,0.807455536013873
"Polyphenolic","methyl_c1",0.0709986250329646,0.639157959310657,0.832708634588509
"Polyphenolic","SCFA  and alcohol conversions",0.17032321393456,0.343305272287075,0.81562797838299
"Polyphenolic","heterotroph-ch4",0.207582037673441,0.211098343116896,0.807455536013873
"Highly Unsaturated and Phenolic, high O/C","chemolithoautotroph",0.136870627512387,0.496021925860351,0.81562797838299
"Highly Unsaturated and Phenolic, high O/C","heterotroph-aromatic",-0.00165891878383029,0.991269968953594,0.991269968953594
"Highly Unsaturated and Phenolic, high O/C","heterotroph-polymer",0.0965336964646903,0.500391315295783,0.81562797838299
"Highly Unsaturated and Phenolic, high O/C","heterotroph-sugar",0.10382774944395,0.51288877532544,0.81562797838299
"Highly Unsaturated and Phenolic, high O/C","methyl_c1",0.112600780205439,0.456239909014132,0.81562797838299
"Highly Unsaturated and Phenolic, high O/C","SCFA  and alcohol conversions",-0.109597828324756,0.54375198558866,0.81562797838299
"Highly Unsaturated and Phenolic, high O/C","heterotroph-ch4",0.108174649898979,0.517982184601618,0.81562797838299
"Sugar-like","chemolithoautotroph",-0.249390728856757,0.209664330909927,0.807455536013873
"Sugar-like","heterotroph-aromatic",0.071548800925814,0.636556288659007,0.832708634588509
"Sugar-like","heterotroph-polymer",-0.0334182225759154,0.815914925355661,0.86872816876229
"Sugar-like","heterotroph-sugar",0.627802717484714,8.57368956252991e-06,0.000360094961626256
"Sugar-like","methyl_c1",0.0997417355654959,0.50956713484248,0.81562797838299
"Sugar-like","SCFA  and alcohol conversions",-0.166768803690258,0.353618718730644,0.81562797838299
"Sugar-like","heterotroph-ch4",-0.0396179512125868,0.813311764455608,0.86872816876229
"Highly Unsaturated and Phenolic, low O/C","chemolithoautotroph",-0.090281848396884,0.654271070033829,0.832708634588509
"Highly Unsaturated and Phenolic, low O/C","heterotroph-aromatic",-0.0599731650615173,0.692163812305459,0.835650028645913
"Highly Unsaturated and Phenolic, low O/C","heterotroph-polymer",0.287021485287443,0.0411400239910795,0.431970251906335
"Highly Unsaturated and Phenolic, low O/C","heterotroph-sugar",-0.130726645069516,0.409264962660667,0.81562797838299
"Highly Unsaturated and Phenolic, low O/C","methyl_c1",-0.131268668620708,0.38453153053414,0.81562797838299
"Highly Unsaturated and Phenolic, low O/C","SCFA  and alcohol conversions",-0.213141035044517,0.233678815577495,0.81562797838299
"Highly Unsaturated and Phenolic, low O/C","heterotroph-ch4",0.0294819622800525,0.86052488172913,0.881513293478621
"Peptide-like","chemolithoautotroph",-0.0787051197749136,0.696375023871594,0.835650028645913
"Peptide-like","heterotroph-aromatic",-0.100449182155852,0.506553743192791,0.81562797838299
"Peptide-like","heterotroph-polymer",-0.129862844439556,0.363736094970814,0.81562797838299
"Peptide-like","heterotroph-sugar",-0.196852044977862,0.211476449908395,0.807455536013873
"Peptide-like","methyl_c1",-0.0403832123943207,0.789882443268107,0.86872816876229
"Peptide-like","SCFA  and alcohol conversions",0.119514399817896,0.507672493859177,0.81562797838299
"Peptide-like","heterotroph-ch4",-0.242072121252291,0.14312200408095,0.807455536013873
"Condensed Aromatic","chemolithoautotroph",-0.0561041750190093,0.781050699387541,0.86872816876229
"Condensed Aromatic","heterotroph-aromatic",0.0953801211567743,0.528343624817245,0.81562797838299
"Condensed Aromatic","heterotroph-polymer",-0.271939968217457,0.0535514554102683,0.449832225446254
"Condensed Aromatic","heterotroph-sugar",0.160891148431136,0.308736280484067,0.81562797838299
"Condensed Aromatic","methyl_c1",-0.0766295847827518,0.612737817682048,0.832708634588509
"Condensed Aromatic","SCFA  and alcohol conversions",0.399753984671353,0.0211716126660906,0.431970251906335
"Condensed Aromatic","heterotroph-ch4",0.0860499391632761,0.607474130313094,0.832708634588509
